order_id,customer_id,product_id,quantity,amount,order_date,status
31530,578,10,7,952.87,2025-12-09,pending
7335,681,30,9,1037.46,2024-06-30,refunded
6072,574,146,5,1693.58,2025-04-29,cancelled
10341,722,129,5,51.24,2026-02-07,cancelled
3002,78,75,10,249.37,2024-05-19,paid
9247,49,119,5,117.21,2024-04-12,pending
40025,381,38,9,576.64,2024-11-14,paid
14979,667,165,8,1818.95,2025-12-02,refunded
15286,233,61,10,1057.52,2025-02-28,paid
29319,508,105,9,24.87,2024-07-03,cancelled
424,255,95,10,886.4,2024-11-16,pending
20008,690,86,6,470.21,2025-11-01,pending
12343,25,73,4,1094.75,2024-10-08,refunded
3469,223,14,6,1173.42,2026-03-11,pending
6228,804,157,3,594.08,2025-06-10,paid
3722,213,23,7,889.61,2025-03-14,paid
41726,921,158,1,780.85,2025-01-08,cancelled
49407,534,173,7,912.83,2026-04-07,paid
33065,803,101,2,1510.48,2025-02-05,refunded
22228,709,118,5,280.39,2024-12-21,pending
48786,965,48,10,269.15,2025-06-27,paid
31928,860,45,4,995.72,2025-07-14,pending
6225,639,52,7,1201.52,2025-07-26,refunded
25413,15,3,7,351.85,2025-06-07,pending
39009,274,125,4,1406.22,2024-12-17,refunded
27257,231,135,9,418.53,2026-02-19,cancelled
18988,735,18,7,663.05,2025-07-01,pending
32213,832,16,7,570.38,2025-12-24,pending
26956,503,113,4,1146.0,2025-07-29,paid
11345,603,75,7,1366.83,2026-03-30,refunded
40009,214,106,4,1139.72,2025-03-14,paid
24918,900,131,1,1959.15,2025-01-13,refunded
18424,453,38,2,765.66,2024-10-10,refunded
22120,31,97,5,1015.32,2024-11-28,refunded
4276,825,166,7,567.87,2024-06-17,refunded
37996,,109,3,735.97,2024-07-16,refunded
18105,946,114,6,302.19,2025-09-16,paid
9089,536,177,3,,2024-12-01,paid
14913,176,183,6,838.54,2025-07-18,cancelled
39879,973,115,2,1477.69,2025-03-27,refunded
9542,13,59,3,1939.66,2024-07-07,pending
33284,350,102,4,1700.34,2025-10-13,refunded
37473,306,169,9,139.6,2025-04-22,paid
3849,311,175,10,379.66,2025-11-17,paid
35914,916,14,1,1789.49,2024-07-30,refunded
12370,248,156,2,615.68,2025-06-25,refunded
24009,424,119,2,1551.82,2024-11-24,refunded
31184,577,94,5,1306.81,2026-01-23,refunded
5569,896,54,10,597.86,2024-11-02,cancelled
16077,654,77,1,783.45,2025-07-24,
11646,824,165,7,1854.83,2025-01-01,cancelled
27571,329,196,2,119.77,2025-05-01,refunded
6318,885,75,8,838.62,2025-04-25,pending
24913,930,81,2,1454.33,2026-01-08,paid
31823,53,70,2,757.39,2024-11-03,cancelled
21343,501,122,2,480.1,2025-12-18,paid
47389,555,144,9,1462.41,2024-05-19,pending
6295,848,127,4,1521.14,2025-04-07,paid
34131,708,142,5,1823.54,2025-03-06,pending
26466,881,139,1,660.34,2024-12-08,paid
626,79,125,3,1308.81,not-a-date,paid
6194,57,69,5,733.23,2025-12-13,cancelled
17156,58,91,8,998.23,2025-12-14,pending
41141,595,55,1,1907.78,2026-03-19,cancelled
10358,648,179,9,1387.05,2025-03-30,paid
4112,397,74,6,1167.11,2025-05-26,cancelled
46442,517,19,10,1361.95,2025-10-30,paid
9735,671,49,6,680.58,2025-03-17,cancelled
41709,46,121,7,1899.57,2024-06-01,pending
34216,756,63,9,,2026-01-12,paid
47164,247,88,6,508.07,2025-08-10,pending
21329,167,70,9,188.49,2026-02-04,pending
25608,173,192,5,1970.22,2025-09-18,cancelled
40161,375,155,2,515.94,2025-11-06,pending
30920,156,127,8,88.66,2025-05-06,paid
3612,224,179,3,725.89,2024-05-09,pending
19746,726,60,4,1316.08,2025-07-05,paid
39915,916,128,7,1876.97,2026-01-17,paid
4765,217,66,10,1007.04,2025-10-06,refunded
2880,286,76,10,1616.55,2026-01-07,paid
19900,707,168,9,1729.76,2025-02-20,refunded
6574,558,90,4,752.28,2026-03-06,paid
25758,565,128,7,530.79,2025-11-27,paid
41779,302,138,9,938.34,2026-01-05,refunded
46155,783,99,7,494.49,2026-01-17,refunded
11130,341,192,4,727.06,2025-10-11,pending
6364,546,9,4,1998.32,2024-07-26,refunded
8970,39,160,7,1857.29,2024-07-25,cancelled
25854,365,76,9,349.53,2025-01-02,paid
34253,696,200,2,986.26,2026-03-22,refunded
23324,592,97,1,708.29,2025-07-06,cancelled
25996,603,104,7,40.9,2024-12-11,pending
9337,183,29,6,784.34,2025-09-05,refunded
625,243,96,6,1659.2,2026-01-31,paid
8880,273,88,3,1792.61,2025-09-22,refunded
38788,628,2,6,179.12,2024-12-18,paid
25381,28,94,6,241.35,2025-07-02,cancelled
41157,403,190,5,1806.61,2024-10-10,paid
13103,953,36,8,1671.6,2025-11-27,refunded
45140,15,108,6,1477.59,2025-12-27,refunded
3193,90,113,6,330.57,2025-05-19,pending
40298,895,63,10,1738.89,2025-04-23,cancelled
18588,163,11,10,480.82,2024-04-23,cancelled
30192,211,174,10,1855.87,2025-07-01,refunded
38821,765,87,9,1722.86,2026-02-17,cancelled
36214,235,45,10,1131.16,2025-08-19,refunded
9567,876,71,10,1396.77,2026-03-22,refunded
7796,399,22,5,,2024-07-07,refunded
38734,479,172,2,1638.23,2025-01-02,cancelled
41291,60,149,6,1991.86,2024-05-29,pending
14572,377,5,2,1739.94,2025-12-20,refunded
47499,716,63,4,1702.69,2025-04-10,
40228,106,69,7,597.6,2025-08-25,pending
34436,412,15,4,373.04,2024-08-13,paid
35339,807,197,8,388.94,15/03/2024,cancelled
11974,778,103,8,1735.26,2024-07-17,cancelled
29228,684,10,7,1947.42,2025-12-01,paid
23148,947,28,3,1736.91,2024-09-24,pending
44082,887,168,6,494.68,2025-11-26,paid
34785,443,83,4,633.7,not-a-date,refunded
19011,24,44,1,1390.16,2024-08-13,paid
16159,102,22,10,1389.71,2024-04-14,paid
20438,229,94,2,1739.38,2024-06-21,cancelled
14881,660,98,1,1525.84,2025-01-26,paid
3835,414,21,3,1865.1,2024-11-07,refunded
10680,930,160,2,421.36,2025-09-30,paid
5125,911,114,1,347.15,2024-09-06,cancelled
3245,33,197,6,308.56,2024-08-30,pending
21727,365,60,9,914.38,2026-02-15,pending
18697,710,65,2,1240.32,2025-11-09,pending
39038,299,148,10,1549.2,2025-11-24,cancelled
28397,592,64,2,992.78,2026-02-24,cancelled
19675,909,68,5,617.65,2024-08-17,paid
31249,799,51,8,1503.23,2025-10-24,refunded
25851,528,132,7,432.05,2026-03-08,pending
30880,246,115,5,420.8,2025-02-19,paid
36131,529,110,6,1029.29,2025-06-20,pending
16264,798,152,5,798.94,2025-08-10,cancelled
48580,895,112,1,685.46,2024-08-17,cancelled
13150,338,3,5,1824.91,2024-11-26,cancelled
15491,162,109,8,1044.37,2024-11-03,pending
34722,960,46,10,1626.0,2025-05-29,pending
22474,434,142,2,1214.08,2026-02-26,paid
