order_id,customer_id,product_id,quantity,amount,order_date,status
41192,325,26,10,1911.42,2025-08-18,paid
41311,877,199,5,1112.81,2025-04-16,refunded
40939,477,137,9,19.65,2024-11-14,refunded
48500,71,160,10,730.44,2025-12-13,refunded
40496,212,35,9,1105.94,2025-02-02,paid
27231,348,141,3,949.06,2025-07-03,paid
37443,176,72,7,1889.76,2025-05-08,cancelled
11964,841,200,7,1799.73,2025-09-28,paid
46285,583,13,3,166.24,2024-07-05,paid
32719,72,200,5,375.01,2025-02-08,paid
36927,265,81,8,204.7,2025-06-11,pending
31095,891,135,10,1384.36,2024-12-19,refunded
6537,552,81,5,186.76,2024-08-25,refunded
49454,262,81,4,1957.24,2025-05-07,paid
24782,693,103,1,1854.86,2026-01-11,refunded
14368,836,17,4,676.28,2025-12-11,cancelled
20434,158,55,8,578.14,2025-09-17,paid
9245,769,162,7,782.41,2025-08-14,cancelled
34714,770,179,5,1452.66,2025-11-21,refunded
29663,408,193,6,734.66,2025-06-30,pending
23646,342,45,5,646.23,2026-01-14,cancelled
32083,788,129,1,715.39,2024-06-26,paid
47496,271,89,10,1770.72,15/03/2024,refunded
42468,838,188,5,1438.45,2026-01-22,cancelled
3917,606,152,10,601.4,2026-02-01,refunded
17768,55,55,4,605.07,2024-10-07,pending
42826,397,124,3,345.86,2025-07-07,paid
1885,410,93,7,1413.54,2024-11-08,paid
13957,852,30,2,153.86,2026-01-07,pending
27545,507,193,2,,2024-12-29,pending
43118,144,197,9,294.88,2024-06-01,pending
8250,773,66,2,1350.84,2024-09-28,refunded
2582,525,177,3,1370.87,2024-06-01,refunded
14419,411,192,1,573.53,2025-03-04,pending
20639,161,3,8,477.35,2025-04-20,refunded
13745,940,74,1,1218.52,2025-09-16,paid
4324,655,1,3,1187.3,2024-05-03,paid
7339,832,32,3,553.83,2025-10-19,refunded
32613,780,177,10,1315.68,2025-08-19,pending
17500,511,108,8,1232.79,2024-05-09,pending
48889,610,44,9,1945.91,2024-06-08,paid
27529,281,19,5,1577.86,2024-05-13,cancelled
48549,240,18,7,1987.73,2024-10-11,refunded
18607,141,19,6,6.98,2024-11-27,refunded
24631,440,118,7,672.41,2025-04-18,pending
34839,653,96,3,632.47,2024-08-04,paid
46478,874,54,5,1734.03,2024-09-23,refunded
8852,527,195,5,1799.8,2025-10-12,pending
758,231,192,3,,2025-02-06,refunded
9153,988,48,6,214.46,2025-03-22,cancelled
2222,697,155,7,208.68,2026-02-21,pending
